team_a,team_b,kalshi_event,polymarket_event,kalshi_yes_a,poly_yes_a,kalshi_yes_b,poly_yes_b,kalshi_url,polymarket_url
minnesota,mississippi state,Mississippi St. vs Minnesota,Mississippi State vs. Minnesota,0.5,0.495,0.51,0.505,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12msstminn,https://polymarket.com/event/cfb-mspst-minnst-2026-09-12
mississippi state,south carolina,Mississippi St. vs South Carolina,Mississippi State vs. South Carolina,0.35,0.32,0.7,0.68,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19msstscar,https://polymarket.com/event/cfb-mspst-sc-2026-09-19
monmouth,western michigan,Monmouth vs Western Michigan,Monmouth vs. Western Michigan,0.05,0.04,0.96,0.96,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12monmwmu,https://polymarket.com/event/cfb-monm-wmich-2026-09-12
montana,utah tech,Utah Tech vs Montana,Utah Tech vs. Montana,0.98,0.984,0.02,0.016,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12utumont,https://polymarket.com/event/cfb-dxst-mont-2026-09-12
montana state,nevada,Montana St. vs Nevada,Montana State vs. Nevada,0.6,0.605,0.41,0.395,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12mtstnev,https://polymarket.com/event/cfb-monst-nevada-2026-09-12
murray state,valparaiso,Valparaiso vs Murray St.,Valparaiso vs. Murray State,0.85,0.825,0.21,0.175,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12valpmurr,https://polymarket.com/event/cfb-valp-murst-2026-09-12
new hampshire,stonehill,Stonehill vs New Hampshire,Stonehill vs. New Hampshire,0.83,0.82,0.2,0.18,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12stnhunh,https://polymarket.com/event/cfb-stnh-nhamp-2026-09-12
new haven,south dakota state,New Haven vs South Dakota St.,New Haven vs. South Dakota State,0.02,0.0265,0.98,0.9735,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12nhcsdst,https://polymarket.com/event/cfb-nhc-sdkst-2026-09-12
nicholls state,sam houston,Nicholls St. vs Sam Houston,Nicholls State vs. Sam Houston,0.41,0.23,0.74,0.77,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19nichshsu,https://polymarket.com/event/cfb-nichls-smho-2026-09-19
nicholls state,ut rio grande valley,UT Rio Grande Valley vs Nicholls St.,UT Rio Grande Valley vs. Nicholls State,0.34,0.315,0.7,0.685,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12utrgvnich,https://polymarket.com/event/cfb-utrgv-nichls-2026-09-12
norfolk state,virginia,Norfolk St. vs Virginia,Norfolk State vs. Virginia,0.01,0.005,1.0,0.995,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep11norfuva,https://polymarket.com/event/cfb-norfst-vir-2026-09-11
north alabama,southeastern louisiana,North Alabama vs Southeastern Louisiana,North Alabama vs. Southeastern Louisiana,0.37,0.34,0.66,0.66,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12unasela,https://polymarket.com/event/cfb-nal-selou-2026-09-12
north carolina a and t,north carolina central,North Carolina A&T vs North Carolina Central,North Carolina A&T vs. North Carolina Central,0.09,0.075,0.93,0.925,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12ncatnccu,https://polymarket.com/event/cfb-ncat-ncc-2026-09-12
north carolina state,richmond,Richmond vs North Carolina St.,Richmond vs. NC State,0.98,0.978,0.03,0.022,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep11richncst,https://polymarket.com/event/cfb-rich-ncst-2026-09-11
north dakota,portland state,North Dakota vs Portland St.,North Dakota vs. Portland State,0.96,0.9515,0.05,0.0485,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12undprst,https://polymarket.com/event/cfb-ndak-portst-2026-09-12
north texas,unlv,UNLV vs North Texas,UNLV vs. North Texas,0.41,0.395,0.6,0.605,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12unlvunt,https://polymarket.com/event/cfb-unlv-ntx-2026-09-12
northern colorado,wyoming,Northern Colorado vs Wyoming,Northern Colorado vs. Wyoming,0.06,0.065,0.95,0.935,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12uncowyo,https://polymarket.com/event/cfb-ncol-wyom-2026-09-12
notre dame,rice,Rice vs Notre Dame,Rice vs. Notre Dame,1.0,0.9955,0.01,0.0045,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12ricend,https://polymarket.com/event/cfb-rice-nd-2026-09-12
ohio state,texas,Ohio St. vs Texas,Ohio State vs. Texas,0.47,0.465,0.54,0.535,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12osutex,https://polymarket.com/event/cfb-ohiost-tx-2026-09-12
oklahoma state,oregon,Oregon vs Oklahoma St.,Oregon vs. Oklahoma State,0.07,0.065,0.94,0.935,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12oreokst,https://polymarket.com/event/cfb-ore-okst-2026-09-12
old dominion,virginia tech,Old Dominion vs Virginia Tech,Old Dominion vs. Virginia Tech,0.11,0.105,0.91,0.895,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12oduvt,https://polymarket.com/event/cfb-old-vtech-2026-09-12
oregon state,texas tech,Texas Tech vs Oregon St.,Texas Tech vs. Oregon State,0.06,0.055,0.96,0.945,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12ttuorst,https://polymarket.com/event/cfb-txtech-oregst-2026-09-12
penn state,temple,Penn St. vs Temple,Penn State vs. Temple,0.95,0.945,0.05,0.055,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12psutem,https://polymarket.com/event/cfb-pennst-templ-2026-09-12
pittsburgh,ucf,UCF vs Pittsburgh,UCF vs. Pittsburgh,0.72,0.705,0.29,0.295,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12ucfpitt,https://polymarket.com/event/cfb-ucf-pitt-2026-09-12
purdue,wake forest,Wake Forest vs Purdue,Wake Forest vs. Purdue,0.42,0.415,0.59,0.585,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12wakepur,https://polymarket.com/event/cfb-wake-pur-2026-09-12
sacred heart,umass,Sacred Heart vs UMass,Sacred Heart vs. UMass,0.06,0.06,0.94,0.94,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12shumass,https://polymarket.com/event/cfb-sacred-umass-2026-09-12
sam houston,tulsa,Tulsa vs Sam Houston,Tulsa vs. Sam Houston,0.18,0.18,0.83,0.82,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12tlsashsu,https://polymarket.com/event/cfb-tulsa-smho-2026-09-12
samford,tennessee tech,Samford vs Tennessee Tech,Samford vs. Tennessee Tech,0.07,0.055,0.95,0.945,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12samtntc,https://polymarket.com/event/cfb-samf-tentch-2026-09-12
san diego state,ucla,San Diego St. vs UCLA,San Diego State vs. UCLA,0.2,0.195,0.82,0.805,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12sdsuucla,https://polymarket.com/event/cfb-sdst-ucla-2026-09-12
smu,uc davis,UC Davis vs SMU,UC Davis vs. SMU,0.96,0.953,0.05,0.047,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12ucdsmu,https://polymarket.com/event/cfb-ucdv-smu-2026-09-12
south alabama,tulane,South Alabama vs Tulane,South Alabama vs. Tulane,0.24,0.235,0.76,0.765,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12usatuln,https://polymarket.com/event/cfb-sala-tulane-2026-09-12
south carolina,towson,Towson vs South Carolina,Towson vs. South Carolina,1.0,0.9885,0.01,0.0115,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12towsscar,https://polymarket.com/event/cfb-tows-sc-2026-09-12
southeast missouri state,southern illinois,Southeast Missouri St. vs Southern Illinois,Southeast Missouri State vs. Southern Illinois,0.3,0.285,0.73,0.715,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12semosiu,https://polymarket.com/event/cfb-semst-sill-2026-09-12
tennessee martin,west virginia,Tennessee-Martin vs West Virginia,Tennessee-Martin vs. West Virginia,0.01,0.0075,1.0,0.9925,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12utmwvu,https://polymarket.com/event/cfb-tmrt-wvir-2026-09-12
texas southern,utep,Texas Southern vs UTEP,Texas Southern vs. UTEP,0.04,0.03,0.97,0.97,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12txsoutep,https://polymarket.com/event/cfb-txs-utep-2026-09-12
texas state,utsa,UTSA vs Texas St.,UTSA vs. Texas State,0.55,0.535,0.46,0.465,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12utsatxst,https://polymarket.com/event/cfb-utsa-txst-2026-09-12
utah state,washington,Utah St. vs Washington,Utah State vs. Washington,0.04,0.04,0.96,0.96,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12usuwash,https://polymarket.com/event/cfb-utahst-wash-2026-09-12
western illinois,wisconsin,Western Illinois vs Wisconsin,Western Illinois vs. Wisconsin,0.02,0.016,0.99,0.984,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12wiuwis,https://polymarket.com/event/cfb-will-wisc-2026-09-12
