exchange,market_id,event_id,event_title,team,opponent,yes_price,volume,game_date,close_time,url
kalshi,KXNCAAFGAME-26SEP12GRAMTCU-GRAM,KXNCAAFGAME-26SEP12GRAMTCU,Grambling St. vs TCU,grambling state,tcu,0.01,108227.94,2026-09-12,2026-09-15T00:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12gramtcu
kalshi,KXNCAAFGAME-26SEP12PVBAY-BAY,KXNCAAFGAME-26SEP12PVBAY,Prairie View A&M vs Baylor,baylor,prairie view a and m,0.99,18408.11,2026-09-12,2026-09-15T00:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12pvbay
kalshi,KXNCAAFGAME-26SEP12PVBAY-PV,KXNCAAFGAME-26SEP12PVBAY,Prairie View A&M vs Baylor,prairie view a and m,baylor,0.02,27434.13,2026-09-12,2026-09-15T00:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12pvbay
kalshi,KXNCAAFGAME-26SEP12SFAAC-AC,KXNCAAFGAME-26SEP12SFAAC,Stephen F. Austin vs Abilene Christian,abilene christian,stephen f austin,0.43,155.49,2026-09-12,2026-09-15T00:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12sfaac
kalshi,KXNCAAFGAME-26SEP12SFAAC-SFA,KXNCAAFGAME-26SEP12SFAAC,Stephen F. Austin vs Abilene Christian,stephen f austin,abilene christian,0.72,175.78,2026-09-12,2026-09-15T00:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12sfaac
kalshi,KXNCAAFGAME-26SEP12TXSOUTEP-UTEP,KXNCAAFGAME-26SEP12TXSOUTEP,Texas Southern vs UTEP,utep,texas southern,0.97,6799.64,2026-09-12,2026-09-15T01:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12txsoutep
kalshi,KXNCAAFGAME-26SEP12TXSOUTEP-TXSO,KXNCAAFGAME-26SEP12TXSOUTEP,Texas Southern vs UTEP,texas southern,utep,0.04,4389.44,2026-09-12,2026-09-15T01:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12txsoutep
kalshi,KXNCAAFGAME-26SEP12NDSUAFA-AFA,KXNCAAFGAME-26SEP12NDSUAFA,North Dakota St. vs Air Force,air force,north dakota state,0.47,6206.97,2026-09-12,2026-09-15T02:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12ndsuafa
kalshi,KXNCAAFGAME-26SEP12NDSUAFA-NDSU,KXNCAAFGAME-26SEP12NDSUAFA,North Dakota St. vs Air Force,north dakota state,air force,0.54,8198.79,2026-09-12,2026-09-15T02:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12ndsuafa
kalshi,KXNCAAFGAME-26SEP12UNDPRST-PRST,KXNCAAFGAME-26SEP12UNDPRST,North Dakota vs Portland St.,portland state,north dakota,0.05,1838.41,2026-09-12,2026-09-15T02:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12undprst
kalshi,KXNCAAFGAME-26SEP12UNDPRST-UND,KXNCAAFGAME-26SEP12UNDPRST,North Dakota vs Portland St.,north dakota,portland state,0.96,2088.47,2026-09-12,2026-09-15T02:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12undprst
kalshi,KXNCAAFGAME-26SEP12ARKUTAH-UTAH,KXNCAAFGAME-26SEP12ARKUTAH,Arkansas vs Utah,utah,arkansas,0.82,13160.13,2026-09-12,2026-09-15T02:15:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12arkutah
kalshi,KXNCAAFGAME-26SEP12ARKUTAH-ARK,KXNCAAFGAME-26SEP12ARKUTAH,Arkansas vs Utah,arkansas,utah,0.2,15109.34,2026-09-12,2026-09-15T02:15:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12arkutah
kalshi,KXNCAAFGAME-26SEP12MTSTNEV-NEV,KXNCAAFGAME-26SEP12MTSTNEV,Montana St. vs Nevada,nevada,montana state,0.41,7562.87,2026-09-12,2026-09-15T02:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12mtstnev
kalshi,KXNCAAFGAME-26SEP12MTSTNEV-MTST,KXNCAAFGAME-26SEP12MTSTNEV,Montana St. vs Nevada,montana state,nevada,0.6,3028.16,2026-09-12,2026-09-15T02:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12mtstnev
kalshi,KXNCAAFGAME-26SEP12SACFRES-FRES,KXNCAAFGAME-26SEP12SACFRES,Sacramento St. vs Fresno St.,fresno state,sacramento state,0.9,1176.65,2026-09-12,2026-09-15T02:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12sacfres
kalshi,KXNCAAFGAME-26SEP12SACFRES-SAC,KXNCAAFGAME-26SEP12SACFRES,Sacramento St. vs Fresno St.,sacramento state,fresno state,0.12,3108.22,2026-09-12,2026-09-15T02:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12sacfres
kalshi,KXNCAAFGAME-26SEP12ULLUSC-USC,KXNCAAFGAME-26SEP12ULLUSC,Louisiana vs USC,usc,louisiana,0.98,18522.38,2026-09-12,2026-09-15T03:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12ullusc
kalshi,KXNCAAFGAME-26SEP12ULLUSC-ULL,KXNCAAFGAME-26SEP12ULLUSC,Louisiana vs USC,louisiana,usc,0.03,4691.03,2026-09-12,2026-09-15T03:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12ullusc
kalshi,KXNCAAFGAME-26SEP13NMSUHAW-HAW,KXNCAAFGAME-26SEP13NMSUHAW,New Mexico St. vs Hawai'i,hawai i,new mexico state,0.72,13639.67,2026-09-13,2026-09-15T04:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep13nmsuhaw
kalshi,KXNCAAFGAME-26SEP13NMSUHAW-NMSU,KXNCAAFGAME-26SEP13NMSUHAW,New Mexico St. vs Hawai'i,new mexico state,hawai i,0.28,19686.24,2026-09-13,2026-09-15T04:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep13nmsuhaw
kalshi,KXNCAAFGAME-26SEP17SYRPITT-PITT,KXNCAAFGAME-26SEP17SYRPITT,Syracuse vs Pittsburgh,pittsburgh,syracuse,0.76,359.24,2026-09-17,2026-09-19T23:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep17syrpitt
kalshi,KXNCAAFGAME-26SEP17SYRPITT-SYR,KXNCAAFGAME-26SEP17SYRPITT,Syracuse vs Pittsburgh,syracuse,pittsburgh,0.29,159.16,2026-09-17,2026-09-19T23:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep17syrpitt
kalshi,KXNCAAFGAME-26SEP18MIAWAKE-WAKE,KXNCAAFGAME-26SEP18MIAWAKE,Miami (FL) vs Wake Forest,wake forest,miami fl,0.1,300.99,2026-09-18,2026-09-20T23:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep18miawake
kalshi,KXNCAAFGAME-26SEP18MIAWAKE-MIA,KXNCAAFGAME-26SEP18MIAWAKE,Miami (FL) vs Wake Forest,miami fl,wake forest,0.93,1217.44,2026-09-18,2026-09-20T23:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep18miawake
kalshi,KXNCAAFGAME-26SEP18HOUTTU-TTU,KXNCAAFGAME-26SEP18HOUTTU,Houston vs Texas Tech,texas tech,houston,0.81,4999.46,2026-09-18,2026-09-21T00:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep18houttu
kalshi,KXNCAAFGAME-26SEP18HOUTTU-HOU,KXNCAAFGAME-26SEP18HOUTTU,Houston vs Texas Tech,houston,texas tech,0.21,8314.27,2026-09-18,2026-09-21T00:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep18houttu
kalshi,KXNCAAFGAME-26SEP18PRSTORE-ORE,KXNCAAFGAME-26SEP18PRSTORE,Portland St. vs Oregon,oregon,portland state,1.0,24455.87,2026-09-18,2026-09-21T02:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep18prstore
kalshi,KXNCAAFGAME-26SEP18PRSTORE-PRST,KXNCAAFGAME-26SEP18PRSTORE,Portland St. vs Oregon,portland state,oregon,0.01,18961.8,2026-09-18,2026-09-21T02:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep18prstore
kalshi,KXNCAAFGAME-26SEP19CCARDEL-DEL,KXNCAAFGAME-26SEP19CCARDEL,Coastal Carolina vs Delaware,delaware,coastal carolina,0.65,5.12,2026-09-19,2026-09-21T15:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19ccardel
kalshi,KXNCAAFGAME-26SEP19CCARDEL-CCAR,KXNCAAFGAME-26SEP19CCARDEL,Coastal Carolina vs Delaware,coastal carolina,delaware,0.47,3011.74,2026-09-19,2026-09-21T15:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19ccardel
kalshi,KXNCAAFGAME-26SEP19AKRMINN-MINN,KXNCAAFGAME-26SEP19AKRMINN,Akron vs Minnesota,minnesota,akron,0.95,851.23,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19akrminn
kalshi,KXNCAAFGAME-26SEP19AKRMINN-AKR,KXNCAAFGAME-26SEP19AKRMINN,Akron vs Minnesota,akron,minnesota,0.12,395.76,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19akrminn
kalshi,KXNCAAFGAME-26SEP19ASUKU-KU,KXNCAAFGAME-26SEP19ASUKU,Arizona St. vs Kansas,kansas,arizona state,0.49,0.0,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19asuku
kalshi,KXNCAAFGAME-26SEP19ASUKU-ASU,KXNCAAFGAME-26SEP19ASUKU,Arizona St. vs Kansas,arizona state,kansas,0.76,14.9,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19asuku
kalshi,KXNCAAFGAME-26SEP19BGSUISU-ISU,KXNCAAFGAME-26SEP19BGSUISU,Bowling Green vs Iowa St.,iowa state,bowling green,0.9,133.11,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19bgsuisu
kalshi,KXNCAAFGAME-26SEP19BGSUISU-BGSU,KXNCAAFGAME-26SEP19BGSUISU,Bowling Green vs Iowa St.,bowling green,iowa state,0.22,9.41,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19bgsuisu
kalshi,KXNCAAFGAME-26SEP19BRWNNHC-NHC,KXNCAAFGAME-26SEP19BRWNNHC,Brown vs New Haven,new haven,brown,0.38,11.47,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19brwnnhc
kalshi,KXNCAAFGAME-26SEP19BRWNNHC-BRWN,KXNCAAFGAME-26SEP19BRWNNHC,Brown vs New Haven,brown,new haven,0.72,109.43,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19brwnnhc
kalshi,KXNCAAFGAME-26SEP19BUFFPSU-PSU,KXNCAAFGAME-26SEP19BUFFPSU,Buffalo vs Penn St.,penn state,buffalo,0.98,6351.01,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19buffpsu
kalshi,KXNCAAFGAME-26SEP19BUFFPSU-BUFF,KXNCAAFGAME-26SEP19BUFFPSU,Buffalo vs Penn St.,buffalo,penn state,0.03,1827.77,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19buffpsu
kalshi,KXNCAAFGAME-26SEP19DARTLEH-LEH,KXNCAAFGAME-26SEP19DARTLEH,Dartmouth vs Lehigh,lehigh,dartmouth,0.74,30.62,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19dartleh
kalshi,KXNCAAFGAME-26SEP19DARTLEH-DART,KXNCAAFGAME-26SEP19DARTLEH,Dartmouth vs Lehigh,dartmouth,lehigh,0.4,78.99,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19dartleh
kalshi,KXNCAAFGAME-26SEP19KENTOSU-OSU,KXNCAAFGAME-26SEP19KENTOSU,Kent St. vs Ohio St.,ohio state,kent state,1.0,19983.56,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19kentosu
kalshi,KXNCAAFGAME-26SEP19KENTOSU-KENT,KXNCAAFGAME-26SEP19KENTOSU,Kent St. vs Ohio St.,kent state,ohio state,0.01,22567.07,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19kentosu
kalshi,KXNCAAFGAME-26SEP19LAFCLMB-CLMB,KXNCAAFGAME-26SEP19LAFCLMB,Lafayette vs Columbia,columbia,lafayette,0.7,52.0,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19lafclmb
kalshi,KXNCAAFGAME-26SEP19LAFCLMB-LAF,KXNCAAFGAME-26SEP19LAFCLMB,Lafayette vs Columbia,lafayette,columbia,0.71,125.12,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19lafclmb
kalshi,KXNCAAFGAME-26SEP19MERGT-GT,KXNCAAFGAME-26SEP19MERGT,Mercer vs Georgia Tech,georgia tech,mercer,0.92,624.41,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19mergt
kalshi,KXNCAAFGAME-26SEP19MERGT-MER,KXNCAAFGAME-26SEP19MERGT,Mercer vs Georgia Tech,mercer,georgia tech,0.19,698.45,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19mergt
kalshi,KXNCAAFGAME-26SEP19TULNKSU-KSU,KXNCAAFGAME-26SEP19TULNKSU,Tulane vs Kansas St.,kansas state,tulane,0.87,462.64,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19tulnksu
